Name,Formula,Category,G. cal mol-1,SD. cal mol-1,S. cal mol-1 °K-1,SD. cal mol-1 °K-1,V. cm3 mol-1,SD. cm3 mol-1,a. cal mol-1 °K-1,SD. cal mol-1 °K-1,b·1000. cal mol-1 °K-1,SD·1000. cal mol-1 °K-1,c·10-5. cal mol-1 °K-1,SD·10-5. cal mol-1 °K-1,,,,,,,,,,Tmax. °K,EactH+,lgKH+,nH+,nFe+++,pH+,qH+,EactH2O,lgKH2O,nO2,pH2O,qH2O,EactOH-,lgKOH-,mOH-,pOH-,qOH-,EactPCO2,logKPCO2,nPCO2,pPCO2,qPCO2,Reaction,References to constants,References to uncertainties,References to kinetics,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCO3-,H(1)C(1)O(3)-(1),aq,-140282,35.85,23.53,0.05975,4,,7.5621,,1.1505,,1.2346,,-2.8266,,12.9395,,-4.7579,,1.2733,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca+2,Ca(1)+(2),aq,-132120,119.5,-13.5,0.1195,6,,-0.1947,,-7252,,5.2966,,-2.4792,,9,,-2522,,1.2366,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaCl+,Ca(1)Cl(1)+(1),aq,-163100,418,4.5,122,4,,2.7148,,-1.1497,,6.1949,,-2.7314,,20.8839,,0.5241,,0.4862,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,SD(G):,Holland,and,Powell.,2011;,SD(Sr)=0;,SD(Ca+2).,SD(Cl-):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaCl2.aq,Ca(1)Cl(2)+(0),aq,-194000,313,6,129,3,,6.2187,,7.4058,,2.8322,,-3.0851,,23961,,3272,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,SD(G):,Holland,and,Powell.,2011;,SD(Sr)=0;,SD(Ca+2).,SD(Cl-):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaCO3.aq,Ca(1)C(1)O(3)+(0),aq,-262850,166,2.5,2.71,3,,-0.3907,,-8.7325,,9.1753,,-2.4179,,-11.5309,,-9.0641,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,SD(Gr).,SD(Sr):,Reardon,and,Langmuir.,1974;,SD(Ca+2).,SD(CO3-2):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaF+,Ca(1)F(1)+(1),aq,-200390,146,-9,153,4,,0.1568,,-7.3958,,8.65,,-2.4732,,30.1743,,3.0968,,0.6911,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,SD(logK)=0;,SD(Ca+2).,SD(F-):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaHCO3+,Ca(1)H(1)C(1)O(3)+(1),aq,-273830,157,16,1.87,4,,3706,,1267,,5252,,-2831,,41722,,8336,,308,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Koretsky.,1995,SD(logK):,Plummer,and,Busenberg.,1982;,SD(Ca+2).,SD(HCO3-):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaHSiO3+,Ca(1)H(1)Si(1)O(3)+(1),aq,-376299,202,-1.99,1.01,,,1.0647,,-5.1787,,7.7785,,-2.5649,,30.8048,,3.6619,,0.5831,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,SD(logK)=0;,SD(G(SiO2.aq)):,Holland,and,Powell.,2011;,SD(Ca+2).,SD(OH-).,SD(S(H4SiO4.aq)):,Robie,and,Hemingway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaOH+,Ca(1)O(1)H(1)+(1),aq,-171300,138,6.7,122,4,,2.7243,,-1.1303,,6.1958,,-2.7322,,11.1286,,-2.7493,,0.4496,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK(Tr)):,Reardon,and,Langmuir.,1976;,SD(Sr)=0;,SD(Ca+2).,SD(H2O.aq):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaSO4.aq,Ca(1)S(1)O(4)+(0),aq,-312930,132,5,0.81,3,,2.4079,,-1.8992,,6.4895,,-2.7004,,-8.4942,,-8.1271,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,Gr.,Sr,:,Bell,and,George.,1953;,Ca+2.,SO4-2:,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd+2,Cd(1)+(2),aq,-18560,,-17.4,,5,,0.0537,,-10708,,16.5176,,-2.3363,,15.6573,,-3.7476,,1.2528,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CdCl+,Cd(1)Cl(1)+(1),aq,-52627,,0.75,,4,,3099,,-0.2116,,5.8262,,-2.7702,,26.6485,,2.3572,,0.5394,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CdCl2.aq,Cd(1)Cl(2)+(0),aq,-84851,,10.31,,3,,6.6265,,8.4016,,2.4408,,-3.1263,,34.2501,,6.8482,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CdCl3-,Cd(1)Cl(3)-(1),aq,-115971,,10.86,,4,,11.2826,,19.7705,,-2.0276,,-3.5963,,56.4451,,9.7459,,1.4662,,-1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CdCl4-2,Cd(1)Cl(4)-(2),aq,-146081,,0.23,,,,16.4919,,32.4903,,-7.0271,,-4.1221,,76.2256,,11.0502,,3206,,-2,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CdF+,Cd(1)F(1)+(1),aq,-87373,,-13.11,,,,0.5423,,-6.4544,,8.2799,,-2.5121,,31.0752,,3.2268,,0.7483,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CdF2.aq,Cd(1)F(2)+(0),aq,-155164,,-23.72,,,,1.0718,,-5.1614,,7.7717,,-2.5656,,40.2242,,8.9247,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CdOH+,Cd(1)O(1)H(1)+(1),aq,-61500,,-2.9,,4,,0.1473,,-7.4141,,8.6471,,-2.4724,,18.8886,,-529,,0.5985,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CdO.aq,Cd(1)O(1)+(0),aq,-47500,,-4.2,,,,-0.1471,,-8.1341,,8.9312,,-2.4426,,-0.3806,,-5.2141,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCdO2-,H(1)Cd(1)O(2)-(1),aq,-86500,,-10.9,,,,908,,-5557,,7.9176,,-2.5492,,23.2446,,-2.8512,,1.7965,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CdO2-2,Cd(1)O(2)-(2),aq,-67300,,-20.3,,,,0.7922,,-5.8401,,8.0303,,-2.5375,,3481,,-15.2361,,3519,,-2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce+2,Ce(1)+(2),aq,-74900,,1.4,,4.5,,0.1315,,-7.4538,,8.6653,,-2.4708,,8.5755,,-5.5196,,1.0376,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce+3,Ce(1)+(3),aq,-161600,,-49,,9,,-3.4833,,-16.2789,,12.1302,,-2.1059,,-355,,-12751,,2.3265,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeBr+2,Ce(1)Br(1)+(2),aq,-186988,,-25.01,,4.5,,0.8072,,-5.8045,,8.0178,,-2.5389,,13.8428,,-4.9716,,1.4382,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeCO3+,Ce(1)C(1)O(3)+(1),aq,-297887,,-40.6,,4,,-916,,-10.0134,,9.6736,,-2.3649,,-21.4145,,-16.3769,,1.1729,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeHCO3+2,Ce(1)H(1)C(1)O(3)+(2),aq,-304500,,-9.5,,4.5,,0.6941,,-6.0823,,8.1309,,-2.5275,,35.5792,,3.3307,,1.2048,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeOH+2,Ce(1)O(1)H(1)+(2),aq,-206800,,-2.7,,4.5,,2.7525,,-1.0606,,6.1673,,-2.7351,,-3684,,-9.9807,,1.1,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeO+,Ce(1)O(1)+(1),aq,-195900,,13.4,,4,,2.8409,,-843,,6.0772,,-2.7441,,-35.2162,,-18.5361,,0.3491,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeO2H.aq,Ce(1)O(2)H(1)+(0),aq,-239300,,48.5,,3,,5.0117,,4.4582,,3.9917,,-2.9632,,-72.9937,,-30.4525,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeO2-,Ce(1)O(2)-(1),aq,-222100,,38.6,,4,,5.0465,,4.5418,,3.9626,,-2.9667,,-51.0768,,-26.2767,,1.0449,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeCl+2,Ce(1)Cl(1)+(2),aq,-193400,,-22.1,,4.5,,-0.1746,,-8.1993,,8.9525,,-2.4399,,14478,,-4.6011,,1.3914,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeCl2+,Ce(1)Cl(2)+(1),aq,-224400,,-5.1,,4,,2.9511,,-0.5763,,5.9777,,-2.7551,,2.5793,,-6.3002,,0.6305,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeCl3.aq,Ce(1)Cl(3)+(0),aq,-255200,,2.6,,3,,6.4972,,8.0855,,2.5659,,-3.1132,,-31.3975,,-15.9948,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeCl4-,Ce(1)Cl(4)-(1),aq,-286100,,0.3,,4,,11.2558,,19.7046,,-2.0003,,-3.5935,,-67.0564,,-33.6847,,1.6238,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeClO4+2,Ce(1)Cl(1)O(4)+(2),aq,-166246,,-36.06,,4.5,,3.5099,,0.7863,,5.4456,,-2.8114,,42.4445,,4.4497,,1.6005,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeF+2,Ce(1)F(1)+(2),aq,-234700,,-14.3,,4.5,,-2.8281,,-14682,,11.5084,,-2.1719,,15.8334,,-3.7656,,1.2776,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeF2+,Ce(1)F(2)+(1),aq,-306200,,-10.1,,4,,-2.5538,,-14.0092,,11.2373,,-2.1998,,8.9628,,-4.3051,,0.7003,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeF3.aq,Ce(1)F(3)+(0),aq,-376600,,-19.7,,3,,-2.2777,,-13.3348,,10.9718,,-2.2276,,-21.3883,,-12.5158,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeF4-,Ce(1)F(4)-(1),aq,-446500,,-46.1,,4,,-0.8995,,-9.9693,,9.6488,,-2.3668,,-45.3959,,-28.3978,,2.3239,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeIO3+2,Ce(1)I(1)O(3)+(2),aq,-194792,,-28.97,,4.5,,0.9706,,-5.4027,,7.8548,,-2.5556,,29.8495,,0.4044,,1.4967,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeNO3+2,Ce(1)N(1)O(3)+(2),aq,-189900,,-32.2,,4.5,,1412,,-4.3253,,7.4319,,-2.6001,,30.1006,,0.3288,,1.5475,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeH2PO4+2,Ce(1)H(2)P(1)O(4)+(2),aq,-435100,,-25.9,,4.5,,1693,,-3645,,7177,,-2.6282,,39.4058,,3.8826,,1.4477,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeSO4+,Ce(1)S(1)O(4)+(1),aq,-334500,,-12.6,,4,,1522,,-4.0622,,7.3397,,-2611,,-22.4285,,-15338,,0.7384,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl-,Cl(1)-(1),aq,-31379,12,13.56,0.0239,3,,4032,,4801,,5563,,-2847,,-4.4,,-5714,,1456,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClO-,Cl(1)O(1)-(1),aq,-8800,116.75,10,9.56,4,,2.3599,,-2.0164,,6.5356,,-2.6955,,3.4787,,-8.6974,,1.4767,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(G):,Guillaumont,et,al..,2004;,SD(S):,Wagman,et,al..,1982**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClO2-,Cl(1)O(2)-(1),aq,4100,490.86,24.2,956,4,,5.2163,,4958,,3.7949,,-2.9839,,6.4977,,-6.9659,,1.2637,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(G):,Guillaumont,et,al..,2004;,SD(S):,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co+2,Co(1)+(2),aq,-13000,,-27,,6,,-1.2252,,-8.9356,,5.3191,,-2.4095,,15.2013,,-4.6234,,1.4769,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co+3,Co(1)+(3),aq,32000,,-73,,5,,-2.8678,,-14.7777,,11.5439,,-2168,,16.4739,,-8.0659,,2.6901,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoOH+,Co(1)O(1)H(1)+(1),aq,-56025,,-10,,,,-0.2561,,-8.4039,,9.0457,,-2.4315,,26.6839,,1.8542,,0.7003,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoO.aq,Co(1)O(1)+(0),aq,-44000,,-17.8,,,,-1.5566,,-11.5736,,10.2791,,-2.3004,,8.7031,,-2.0567,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCoO2-,H(1)Co(1)O(2)-(1),aq,-83400,,-25.5,,4,,-0.0971,,-8.0155,,8.8926,,-2.4475,,44.7712,,3.9116,,2.0211,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoO2-2,Co(1)O(2)-(2),aq,-63200,,-32.7,,,,-59,,-7.9219,,8854,,-2.4514,,21.8518,,-9.4714,,3.7128,,-2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoOH+2,Co(1)O(1)H(1)+(2),aq,-23000,,-27.8,,,,-1.0884,,-10.4353,,9.8425,,-2.3475,,16.5492,,-4.1549,,1.4769,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoCl+,Co(1)Cl(1)+(1),aq,-45157,,-11.27,,4,,1.8028,,-3.3766,,7.0702,,-2.6394,,22.7656,,0.4323,,0.7191,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoF+,Co(1)F(1)+(1),aq,-81732,,-22.6,,,,-0.7659,,-9.6486,,9.5354,,-2.3801,,26.8657,,-1.3018,,0.8926,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr+2,Cr(1)+(2),aq,-39400,,-24.2,,4.5,,-0.8036,,-9.74,,9.5688,,-2.3762,,15.0502,,-4.5215,,1.4287,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr+3,Cr(1)+(3),aq,-49300,,-77,,9,,-2.7824,,-14.5709,,11.4661,,-2.1765,,17.9914,,-7.6992,,2.7403,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrOH+2,Cr(1)O(1)H(1)+(2),aq,-100500,,-46.1,,4.5,,-2.6482,,-14.2423,,11.3347,,-2.1901,,31.4127,,0.1024,,1.7607,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrO+,Cr(1)O(1)+(1),aq,-92800,,-26.3,,,,-1.1728,,-10.6385,,9.9161,,-2.3391,,-3.1901,,-9.3085,,0.9437,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCrO2.aq,H(1)Cr(1)O(2)+(0),aq,-138100,,6,,,,1.5359,,-4.0259,,7.3211,,-2.6125,,-16.2043,,-10714,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrO2-,Cr(1)O(2)-(1),aq,-125300,,-6.7,,,,1.2013,,-4.8403,,7635,,-2.5788,,10.0021,,-7.2511,,1.7331,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr2O7-2,Cr(2)O(7)-(2),aq,-312970,,72,,4,,12.4303,,22568,,-3.1161,,-3.7119,,8658,,-8.9622,,2.1216,,-2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCrO4-,H(1)Cr(1)O(4)-(1),aq,-183700,,46.6,,4,,8.2211,,12.2925,,0.9174,,-3.2871,,15.5492,,-2729,,923,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrO4-2,Cr(1)O(4)-(2),aq,-174800,,13.8,,4,,5.4891,,5.6223,,3.5382,,-3.0113,,-2.8608,,-15.7861,,3.0024,,-2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs+,Cs(1)+(1),aq,-69710,,31.75,,2.5,,6.1475,,-0.1309,,4.2094,,-2.7736,,6.27,,-5736,,0.0974,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CsBr.aq,Cs(1)Br(1)+(0),aq,-94610,,57.3,,3,,9.5646,,15.5757,,-0.3789,,-3.4228,,-9.4143,,-8.4469,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CsCl.aq,Cs(1)Cl(1)+(0),aq,-100900,,52.58,,3,,8401,,12.7344,,0.7379,,-3.3054,,-6.0563,,-7.9234,,0.2,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CsI.aq,Cs(1)I(1)+(0),aq,-83460,,60.3,,3,,11.6513,,20.6709,,-2.3815,,-3.6335,,-7212,,-8.0048,,0.1,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CsOH.aq,Cs(1)O(1)H(1)+(0),aq,-105000,,35.9,,,,5.6685,,6.0571,,3374,,-3.0293,,-12.8052,,-9.5325,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu+,Cu(1)+(1),aq,11950,,9.7,,4,,807,,-5804,,8.0165,,-2539,,17.9233,,-0.2438,,0.4046,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu+2,Cu(1)+(2),aq,15675,,-23.2,,6,,-1.1021,,-10.4726,,9.8662,,-2.3461,,20.3,,-4.39,,1.4769,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuOH+,Cu(1)O(1)H(1)+(1),aq,-30200,,-6.1,,4,,-0.0277,,-7.8416,,8.8142,,-2.4547,,21.5062,,0.2246,,0.6472,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuO.aq,Cu(1)O(1)+(0),aq,-20800,,-12.4,,,,-0.3937,,-8736,,9.1675,,-2.4178,,12149,,-3.3197,,0.7384,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCuO2-,H(1)Cu(1)O(2)-(1),aq,-60100,,0.3,,,,1.3202,,-4.5527,,7.5282,,-2.5907,,-3.2749,,-8.0659,,0.5464,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
